Response 1,Response 2,Score
Good morning,good morning,1.0
I dont know what club benefits are,Please explain what club benefits includes,0.914
"Hello
Is it possible to early check in? We will come to Bangkok about 7 am",Hello. I will be arriving in Bangkok at 1am on 13th of May. Would I be able to check in at that very early hour?,0.898
the price is much for me,too pricey,0.83
"HY , SORRY FOR MY QUESTION, BREAKFAST IS INCLUDED?",is there breakfast,0.745
ist breakfast included?,"HY , SORRY FOR MY QUESTION, BREAKFAST IS INCLUDED?",0.728
ist breakfast included?,is there breakfast,0.705
is there breakfast,looking for price for breakfast,0.681
meeting room,"Hello, what is the difference between an Executive Room and a Club Room?",0.656
hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,Is there a discount code for first time customers? I'm not sure if I want to book with Amara or with Conrad.,0.645
"Looking for a room big enougt to stay with 3 people, I'll travel from Koh Samui on 29 of september to Bangkok and wil check out on 3 oktober early in the morning can you give me a good rate","Hello
Is it possible to early check in? We will come to Bangkok about 7 am",0.638
The website won't complete the reservation,Your website isn't working.,0.636
"Looking for a room big enougt to stay with 3 people, I'll travel from Koh Samui on 29 of september to Bangkok and wil check out on 3 oktober early in the morning can you give me a good rate",Hello. I will be arriving in Bangkok at 1am on 13th of May. Would I be able to check in at that very early hour?,0.634
is there breakfast,"Hello, what is different between Advance Purchase With Breakfast and Best Flexible Rate with Breakfast? Thanks",0.618
ist breakfast included?,"Hello, what is different between Advance Purchase With Breakfast and Best Flexible Rate with Breakfast? Thanks",0.612
ist breakfast included?,looking for price for breakfast,0.606
too expensive,too pricey,0.593
"I received an email for discounts of up to 15% when booking the hotel. However, I think the prices on check24 are the same.",Is there a discount code for first time customers? I'm not sure if I want to book with Amara or with Conrad.,0.59
"I received an email for discounts of up to 15% when booking the hotel. However, I think the prices on check24 are the same.",hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,0.59
hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.,0.588
looking for price for breakfast,"Hello, what is different between Advance Purchase With Breakfast and Best Flexible Rate with Breakfast? Thanks",0.587
"HY , SORRY FOR MY QUESTION, BREAKFAST IS INCLUDED?",looking for price for breakfast,0.587
"HY , SORRY FOR MY QUESTION, BREAKFAST IS INCLUDED?","Hello, what is different between Advance Purchase With Breakfast and Best Flexible Rate with Breakfast? Thanks",0.585
the price is much for me,too expensive,0.585
Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.,Hi I wanna know what's different of these types booking room?,0.562
hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,"Hello. We are going to stay for 3 nights and 4 days from September 22nd to September 25th, and an additional 3 nights and 4 days from September 27th to September 30th.

We will reserve a total of two rooms, and one adult will use each.

We want to reserve a room at the lowest possible price.

If you like the price you're offering, we'll even pay right away. (Non-refundable reservation, not a cancelable reservation)

We even saw a product in Agoda that was in the early 2,000 baht including breakfast and tax a few days ago, but we can't see it now.

We look forward to your acceptable room offer.",0.56
how do I see prices in NZS?,too pricey,0.56
"Hi, I have a questuion - when I make a reservation, payment is now or later?","Hi, I was wondering if there is a possibility for later check out than 12:00 PM, I am talking about paying for staying for example till 8:00 PM, because my flight departs at 11:45 PM",0.546
Is there a discount code for first time customers? I'm not sure if I want to book with Amara or with Conrad.,is there a promo code I can use,0.537
the price is much for me,how much is THB 3188 in US dolars?,0.532
hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,"Hello, what is the difference between an Executive Room and a Club Room?",0.53
meeting room,no room,0.53
"Hi, may i know if i book club10 room can i access to Jacuzzi ?",Hi I wanna know what's different of these types booking room?,0.52
"website isnt a,lowing",Your website isn't working.,0.507
no bathtub in the Executive room?,"Hello, what is the difference between an Executive Room and a Club Room?",0.507
"Hi, I have a questuion - when I make a reservation, payment is now or later?",The website won't complete the reservation,0.506
Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.,"Hello, what is the difference between an Executive Room and a Club Room?",0.506
hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,"Hi, may i know if i book club10 room can i access to Jacuzzi ?",0.505
"Hi, I have a questuion - when I make a reservation, payment is now or later?",Can I make make booking first and pay later?,0.504
Good morning,is there breakfast,0.5
is there breakfast,good morning,0.5
How do I receive a meber rate?,I only want to book. Not to get a member.,0.496
"Hey 
How long the pool is opening?",there is a swimming pool,0.488
"Looking for a room big enougt to stay with 3 people, I'll travel from Koh Samui on 29 of september to Bangkok and wil check out on 3 oktober early in the morning can you give me a good rate","Hello. We are going to stay for 3 nights and 4 days from September 22nd to September 25th, and an additional 3 nights and 4 days from September 27th to September 30th.

We will reserve a total of two rooms, and one adult will use each.

We want to reserve a room at the lowest possible price.

If you like the price you're offering, we'll even pay right away. (Non-refundable reservation, not a cancelable reservation)

We even saw a product in Agoda that was in the early 2,000 baht including breakfast and tax a few days ago, but we can't see it now.

We look forward to your acceptable room offer.",0.488
"Hi, I have a questuion - when I make a reservation, payment is now or later?","Hello. We are going to stay for 3 nights and 4 days from September 22nd to September 25th, and an additional 3 nights and 4 days from September 27th to September 30th.

We will reserve a total of two rooms, and one adult will use each.

We want to reserve a room at the lowest possible price.

If you like the price you're offering, we'll even pay right away. (Non-refundable reservation, not a cancelable reservation)

We even saw a product in Agoda that was in the early 2,000 baht including breakfast and tax a few days ago, but we can't see it now.

We look forward to your acceptable room offer.",0.486
