Response,Confidence,Label
5 people one bed hello,93.6%,negative
this fucking dialog box asshole,89.9%,negative
Extremely unsatisfactory and pathetic customer service on-call. The person working the desk could not provide any proper info when I called the given number for enquiry.,87.8%,negative
can't book from 29th Dec to 1st January 2024,73.4%,negative
wrong room type,69.6%,negative
"Cancel Policy
Non Refundable and Non Cancellation.",67.7%,negative
bad reviews,65.4%,negative
they disintegrate,64.3%,negative
"Hi, I am looking to book few rooms, do you have any offer with discounted price and free cancellation?",57.9%,negative
no available rooms on the preferred date,52.8%,negative
expensive!!!,51.3%,negative
The price is too high and far from city,49.4%,negative
site does not allow me to enter check out date,49.3%,negative
lack of money,48.3%,negative
I can't click through without selecting 'Pampered Meow 2.0',46.9%,negative
room type not available,45.8%,negative
too expensive. I need a promo code,44.7%,negative
Room Charge is expensive.,44.1%,negative
"lack of options for a childs bed in the room, we need a bed, not a cot",42.9%,negative
Expensive,42.7%,negative
expensive,42.7%,negative
expensive,42.7%,negative
"hello, can check if this is for 2 pax only? what if I have additional child?",41.6%,negative
"Hello, do you offer discounts for monthly or two-month stays? I'm looking a t a villa to stay with my family for a while in Sentosa.",41.6%,negative
Unsure of what is and is not included in the price,41.5%,negative
Your price is inconsistent,40.2%,negative
Lack of pictures of the room,39.6%,negative
waiting for email reply,39.1%,negative
Hello I have already booked the rooms but haven't received any confirmation via email,38.3%,negative
"i have 2 adults 2 children, aged 6 and aged 2",36.8%,negative
free cancellation,35.1%,negative
member sign in,32.2%,negative
"how much are taxes and charges on top of the rate?
and breakfast?",31.9%,negative
price! is there any discount code?,31.2%,negative
want to book 1 night but cannot,30.3%,negative
i dont' want to be a member,30.0%,negative
how many sofa are there at Family Suite?,29.7%,negative
I cant sign into the member program,29.6%,negative
Capacity 4 ?,29.1%,negative
is rabbit allow?,29.0%,negative
we are 2 adults and 2 children,27.8%,negative
u are fully booked thru out,27.6%,negative
no 4 pax room,27.5%,negative
Which room to book if I have pet?,25.6%,negative
